step, time, COM_x, COM_y, COM_z, COM_vx, COM_vy, COM_vz, KE_total, PE_total, E_total
       0     0.000000  -7.17750713E-02  4.73276787E-02  1.59372576E-05  2.38005538E-03 -8.78121937E-04  4.36797971E-04  1.08848000E+00 -1.48832512E+01 -1.37947712E+01
     500     0.499997  -7.05850422E-02  4.68886420E-02  2.34315143E-04  2.38005165E-03 -8.78138118E-04  4.36720235E-04  5.47506857E+00 -1.92474289E+01 -1.37723598E+01
    1000     0.999991  -6.93949983E-02  4.64495867E-02  4.52671986E-04  2.38002487E-03 -8.78110586E-04  4.36739996E-04  8.47505379E+00 -2.22077675E+01 -1.37327137E+01
    1500     1.500014  -6.82049692E-02  4.60105278E-02  6.71067450E-04  2.38005747E-03 -8.78127292E-04  4.36866016E-04  6.14315033E+00 -1.98396149E+01 -1.36964645E+01
    2000     2.000037  -6.70150220E-02  4.55714427E-02  8.89529183E-04  2.37994874E-03 -8.78122635E-04  4.36990813E-04  6.96094990E+00 -2.06248741E+01 -1.36639242E+01
    2500     2.500001  -6.58250377E-02  4.51323837E-02  1.10807782E-03  2.37987144E-03 -8.78139690E-04  4.37219569E-04  6.43159962E+00 -2.00629578E+01 -1.36313581E+01
    3000     2.999965  -6.46350980E-02  4.46933284E-02  1.32674107E-03  2.37983651E-03 -8.78105639E-04  4.37436393E-04  7.30167532E+00 -2.09010735E+01 -1.35993977E+01
    3500     3.499929  -6.34451881E-02  4.42542993E-02  1.54552411E-03  2.37987400E-03 -8.78040970E-04  4.37712471E-04  7.60104465E+00 -2.11674824E+01 -1.35664377E+01
    4000     3.999892  -6.22552261E-02  4.38152812E-02  1.76443253E-03  2.37987284E-03 -8.78008490E-04  4.37912182E-04  8.36016178E+00 -2.18930531E+01 -1.35328913E+01
    4500     4.499856  -6.10652864E-02  4.33762781E-02  1.98341324E-03  2.37996969E-03 -8.78009421E-04  4.37986368E-04  8.94509506E+00 -2.24429531E+01 -1.34978580E+01
    5000     4.999820  -5.98752610E-02  4.29372564E-02  2.20237789E-03  2.38003745E-03 -8.78001680E-04  4.37871815E-04  9.35778236E+00 -2.28200359E+01 -1.34622536E+01
    5500     5.499784  -5.86852916E-02  4.24982943E-02  2.42128968E-03  2.38000788E-03 -8.78001447E-04  4.37770679E-04  9.15318584E+00 -2.25807648E+01 -1.34275789E+01
    6000     5.999748  -5.74952811E-02  4.20592576E-02  2.64014420E-03  2.37997365E-03 -8.78030260E-04  4.37676586E-04  9.09495354E+00 -2.24884911E+01 -1.33935375E+01
    6500     6.499712  -5.63052706E-02  4.16202545E-02  2.85898289E-03  2.37995852E-03 -8.78051156E-04  4.37674084E-04  8.79675770E+00 -2.21567554E+01 -1.33599977E+01
    7000     6.999675  -5.51153235E-02  4.11812328E-02  3.07782553E-03  2.37993011E-03 -8.78045044E-04  4.37695009E-04  8.43338776E+00 -2.17610569E+01 -1.33276691E+01
    7500     7.499639  -5.39253391E-02  4.07421924E-02  3.29668447E-03  2.37990217E-03 -8.78033752E-04  4.37735580E-04  8.67200184E+00 -2.19671688E+01 -1.32951670E+01
    8000     7.999603  -5.27353995E-02  4.03032117E-02  3.51556996E-03  2.37988122E-03 -8.78026360E-04  4.37799172E-04  8.48404026E+00 -2.17463131E+01 -1.32622728E+01
    8500     8.499804  -5.15454896E-02  3.98641638E-02  3.73445870E-03  2.37986958E-03 -8.78010527E-04  4.37739247E-04  8.40193653E+00 -2.16316376E+01 -1.32297010E+01
    9000     9.000007  -5.03555462E-02  3.94251682E-02  3.95331625E-03  2.37986888E-03 -8.77986255E-04  4.37732670E-04  7.79180098E+00 -2.09898643E+01 -1.31980629E+01
    9500     9.500209  -4.91655506E-02  3.89861800E-02  4.17223759E-03  2.37987284E-03 -8.78003484E-04  4.37921000E-04  7.79134750E+00 -2.09588661E+01 -1.31675186E+01
   10000    10.000411  -4.79756780E-02  3.85471620E-02  4.39124461E-03  2.37987610E-03 -8.78024788E-04  4.38171963E-04  7.91446686E+00 -2.10505905E+01 -1.31361237E+01
   10500    10.500613  -4.67857160E-02  3.81081328E-02  4.61042207E-03  2.37988401E-03 -8.78058956E-04  4.38525691E-04  7.53599024E+00 -2.06410046E+01 -1.31050148E+01
   11000    11.000815  -4.55957763E-02  3.76691148E-02  4.82977415E-03  2.37987656E-03 -8.78055580E-04  4.38897463E-04  7.53853893E+00 -2.06130486E+01 -1.30745096E+01
   11500    11.501018  -4.44058180E-02  3.72301042E-02  5.04931994E-03  2.37987004E-03 -8.78080027E-04  4.39274212E-04  7.20742655E+00 -2.02518768E+01 -1.30444508E+01
